seed,program,generation,status,detail,repaired,runtime_ms
7,gen3_01,3,ok,,False,0.064
7,gen3_02,3,ok,,False,0.032
7,gen3_03,3,ok,,False,0.133
7,gen3_04,3,ok,,False,0.037
7,gen3_05,3,ok,,False,0.385
7,gen3_06,3,ok,,False,0.162
8,gen1_01,1,ok,,False,0.054
8,gen1_02,1,ok,,False,0.03
8,gen1_03,1,ok,,False,0.968
8,gen1_04,1,ok,,False,0.028
8,gen1_05,1,ok,,False,0.034
8,gen1_06,1,ok,,False,0.147
8,gen2_01,2,ok,,False,0.08
8,gen2_02,2,ok,,False,0.065
8,gen2_03,2,ok,,False,0.032
8,gen2_04,2,ok,,False,0.049
8,gen2_05,2,ok,,False,0.067
8,gen2_06,2,ok,,False,0.053
8,gen3_01,3,ok,,False,0.06
8,gen3_02,3,ok,,False,0.032
8,gen3_03,3,ok,,False,0.11
8,gen3_04,3,ok,,False,0.082
8,gen3_05,3,ok,,False,0.355
8,gen3_06,3,ok,,False,0.108
9,gen1_01,1,ok,,False,0.051
9,gen1_02,1,ok,,False,0.041
9,gen1_03,1,ok,,False,0.966
9,gen1_04,1,ok,,False,0.028
9,gen1_05,1,ok,,False,0.035
9,gen1_06,1,ok,,False,0.167
9,gen2_01,2,ok,,False,0.089
9,gen2_02,2,ok,,False,0.072
9,gen2_03,2,ok,,False,0.033
9,gen2_04,2,ok,,False,0.052
9,gen2_05,2,ok,,False,0.083
9,gen2_06,2,ok,,False,0.072
9,gen3_01,3,ok,,False,0.093
9,gen3_02,3,ok,,False,0.032
9,gen3_03,3,ok,,False,0.187
9,gen3_04,3,ok,,False,0.048
9,gen3_05,3,ok,,False,0.454
9,gen3_06,3,ok,,False,0.316
10,gen1_01,1,ok,,False,0.06
10,gen1_02,1,ok,,False,0.04
10,gen1_03,1,ok,,False,0.973
10,gen1_04,1,ok,,False,0.03
10,gen1_05,1,ok,,False,0.038
10,gen1_06,1,ok,,False,0.169
10,gen2_01,2,ok,,False,0.092
10,gen2_02,2,ok,,False,0.071
10,gen2_03,2,ok,,False,0.038
10,gen2_04,2,ok,,False,0.055
10,gen2_05,2,ok,,False,0.076
10,gen2_06,2,ok,,False,0.069
10,gen3_01,3,ok,,False,0.077
10,gen3_02,3,ok,,False,0.034
10,gen3_03,3,ok,,False,0.159
10,gen3_04,3,ok,,False,0.028
10,gen3_05,3,ok,,False,0.421
10,gen3_06,3,ok,,False,0.201
11,gen1_01,1,ok,,False,0.052
11,gen1_02,1,ok,,False,0.031
11,gen1_03,1,ok,,False,0.977
11,gen1_04,1,ok,,False,0.029
11,gen1_05,1,ok,,False,0.035
11,gen1_06,1,ok,,False,0.167
11,gen2_01,2,ok,,False,0.09
11,gen2_02,2,ok,,False,0.069
11,gen2_03,2,ok,,False,0.034
11,gen2_04,2,ok,,False,0.05
11,gen2_05,2,ok,,False,0.075
11,gen2_06,2,ok,,False,0.068
11,gen3_01,3,ok,,False,0.064
11,gen3_02,3,ok,,False,0.033
11,gen3_03,3,ok,,False,0.116
11,gen3_04,3,ok,,False,0.041
11,gen3_05,3,ok,,False,0.414
11,gen3_06,3,ok,,False,0.152
12,gen1_01,1,ok,,False,0.05
12,gen1_02,1,ok,,False,0.036
12,gen1_03,1,ok,,False,0.969
12,gen1_04,1,ok,,False,0.029
12,gen1_05,1,ok,,False,0.034
12,gen1_06,1,ok,,False,0.167
12,gen2_01,2,ok,,False,0.091
12,gen2_02,2,ok,,False,0.07
12,gen2_03,2,ok,,False,0.034
12,gen2_04,2,ok,,False,0.071
12,gen2_05,2,ok,,False,0.074
12,gen2_06,2,ok,,False,0.066
12,gen3_01,3,ok,,False,0.084
12,gen3_02,3,ok,,False,0.033
12,gen3_03,3,ok,,False,0.23
12,gen3_04,3,ok,,False,0.039
12,gen3_05,3,ok,,False,0.386
12,gen3_06,3,ok,,False,0.28
13,gen1_01,1,ok,,False,0.052
13,gen1_02,1,ok,,False,0.041
13,gen1_03,1,ok,,False,0.97
13,gen1_04,1,ok,,False,0.029
13,gen1_05,1,ok,,False,0.035
13,gen1_06,1,ok,,False,0.166
13,gen2_01,2,ok,,False,0.09
13,gen2_02,2,ok,,False,0.071
13,gen2_03,2,ok,,False,0.036
13,gen2_04,2,ok,,False,0.051
13,gen2_05,2,ok,,False,0.081
13,gen2_06,2,ok,,False,0.078
13,gen3_01,3,ok,,False,0.088
13,gen3_02,3,ok,,False,0.032
13,gen3_03,3,ok,,False,0.192
13,gen3_04,3,ok,,False,0.04
13,gen3_05,3,ok,,False,0.434
13,gen3_06,3,ok,,False,0.249
14,gen1_01,1,ok,,False,0.054
14,gen1_02,1,ok,,False,0.035
14,gen1_03,1,ok,,False,0.967
14,gen1_04,1,ok,,False,0.029
14,gen1_05,1,ok,,False,0.035
14,gen1_06,1,ok,,False,0.168
14,gen2_01,2,ok,,False,0.09
14,gen2_02,2,ok,,False,0.072
14,gen2_03,2,ok,,False,0.033
14,gen2_04,2,ok,,False,0.052
14,gen2_05,2,ok,,False,0.082
14,gen2_06,2,ok,,False,0.067
14,gen3_01,3,ok,,False,0.083
14,gen3_02,3,ok,,False,0.032
14,gen3_03,3,ok,,False,0.179
14,gen3_04,3,ok,,False,0.049
14,gen3_05,3,ok,,False,0.453
14,gen3_06,3,ok,,False,0.243
15,gen1_01,1,ok,,False,0.046
15,gen1_02,1,ok,,False,0.03
15,gen1_03,1,ok,,False,0.974
15,gen1_04,1,ok,,False,0.028
15,gen1_05,1,ok,,False,0.034
15,gen1_06,1,ok,,False,0.167
15,gen2_01,2,ok,,False,0.09
15,gen2_02,2,ok,,False,0.07
15,gen2_03,2,ok,,False,0.033
15,gen2_04,2,ok,,False,0.071
15,gen2_05,2,ok,,False,0.08
15,gen2_06,2,ok,,False,0.061
15,gen3_01,3,ok,,False,0.066
15,gen3_02,3,ok,,False,0.031
15,gen3_03,3,ok,,False,0.132
15,gen3_04,3,ok,,False,0.037
15,gen3_05,3,ok,,False,0.42
15,gen3_06,3,ok,,False,0.191
16,gen1_01,1,ok,,False,0.051
16,gen1_02,1,ok,,False,0.039
16,gen1_03,1,ok,,False,0.966
16,gen1_04,1,ok,,False,0.029
16,gen1_05,1,ok,,False,0.034
16,gen1_06,1,ok,,False,0.166
16,gen2_01,2,ok,,False,0.089
16,gen2_02,2,ok,,False,0.07
16,gen2_03,2,ok,,False,0.033
16,gen2_04,2,ok,,False,0.051
16,gen2_05,2,ok,,False,0.092
16,gen2_06,2,ok,,False,0.067
16,gen3_01,3,ok,,False,0.083
16,gen3_02,3,ok,,False,0.033
16,gen3_03,3,ok,,False,0.174
16,gen3_04,3,ok,,False,0.11
16,gen3_05,3,ok,,False,0.419
16,gen3_06,3,ok,,False,0.24
17,gen1_01,1,ok,,False,0.049
17,gen1_02,1,ok,,False,0.034
17,gen1_03,1,ok,,False,0.968
17,gen1_04,1,ok,,False,0.028
17,gen1_05,1,ok,,False,0.034
