method,f1_mean,f1_ci,f2_mean,f2_ci,f3_mean,f3_ci,p95_mean,p95_ci,hv_mean,hv_ci,ood_mean,ood_ci
Classical heuristic,100.00,19.81,111.28,22.18,7.71,1.63,113.79,22.79,1.037,0.025,39.28,0.53
Deterministic AHD,99.32,19.82,110.52,22.19,7.65,1.62,113.08,22.80,1.094,0.005,39.15,0.52
MO AHD (no fuzzy risk),108.37,24.85,120.64,27.84,8.34,2.03,123.34,28.58,1.099,0.002,39.32,0.53
C-R-EoH,99.34,19.82,110.31,22.18,7.51,1.61,112.79,22.80,1.102,0.000,38.71,0.57
