method,f1_mean,f1_ci,f2_mean,f2_ci,f3_mean,f3_ci,p95_mean,p95_ci,hv_mean,hv_ci,ood_mean,ood_ci
Classical heuristic,100.00,56.89,114.43,63.86,9.76,4.72,118.63,66.06,0.626,0.161,61.02,1.18
Deterministic AHD,100.62,57.63,115.90,65.57,10.33,5.37,120.22,67.88,0.562,0.080,61.77,0.97
MO AHD (no fuzzy risk),100.09,57.17,112.71,62.57,8.50,3.68,116.50,64.37,0.889,0.092,57.97,3.21
C-R-EoH,99.46,57.07,108.32,62.17,5.97,3.45,110.59,63.38,1.100,0.002,48.24,1.88
