n,M,t_struct_ms,t_scenario_ms,t_det_ms,t_fuzzy_ms,predicted_factor,observed_factor,parallel_bound_p8
20,40,0.019744000155696995,0.009217174994091692,0.03107199995611154,0.3884309999193647,13.41,12.5,2.12
40,40,0.04986499993719917,0.01856519999705597,0.06327999994937272,0.792472999819438,11.58,12.52,2.25
80,40,0.10564600006546243,0.03521714999692449,0.14625199992224225,1.514331999942442,10.75,10.35,1.93
160,40,0.33219300007658603,0.07427414999483517,0.41815899999164685,3.303158999869993,8.13,7.9,1.68
320,40,1.0836899998594163,0.14171132500564454,1.2430740000581864,6.752143000085198,5.51,5.43,1.44
640,40,4.029902999945989,0.2886630249975042,3.9944239999840647,15.576423999846156,3.61,3.9,1.37
