evaluator_on_llm_pool,f1_mean,f1_ci,f2_mean,f2_ci,f3_mean,f3_ci,p95_mean,p95_ci,hv_mean,hv_ci,ood_mean,ood_ci
LLM pool + nominal evaluator,100.000,2.698,115.969,4.163,10.614,1.165,122.164,4.805,0.922,0.027,60.914,5.190
LLM pool + fuzzy MO evaluator (C-R-EoH),97.775,2.541,106.126,3.153,5.543,0.539,109.410,3.413,1.102,0.000,47.683,4.123
