seed,method,technicians,opening,work_mean,overtime_mean,overtime_p95,overtime_share_of_tail,crossing_frac,workload_gini,workload_mad,overtime_gini,max_tech_overtime,arch_size,arch_spread_f1,arch_spread_f2,arch_collinearity,p95,f3,hv,mean_buffer,mean_pack
7,Deterministic AHD,5.0,200.0,519.31024,44.68442,99.36895,0.5664,0.6,0.02799,4.45018,0.37773,11.98641,1.0,0.0,0.0,nan,865.61492,62.70112,0.86816,0.0,1.0
7,MO AHD (no fuzzy risk),7.0,280.0,519.31024,0.0,0.0,0.0,0.0,0.03434,3.89226,0.0,0.0,2.0,0.15858,0.14563,nan,846.24597,30.18111,1.08752,0.15792,0.73982
7,C-R-EoH,6.0,240.0,519.31024,1.22154,12.9249,0.1644,0.0,0.02737,3.67945,0.06165,0.41422,4.0,0.49744,0.49366,0.99994,807.22526,31.2805,1.1025,0.11621,0.86116
8,Classical heuristic,5.0,200.0,484.36437,38.45148,108.90572,0.56464,0.8,0.08592,14.62313,0.41168,9.60453,1.0,0.0,0.0,nan,848.74177,49.20138,0.69628,0.0,1.0
8,Deterministic AHD,5.0,200.0,484.36437,38.45148,108.90572,0.56464,0.8,0.08592,14.62313,0.41168,9.60453,1.0,0.0,0.0,nan,848.74177,49.20138,0.69628,0.0,1.0
8,MO AHD (no fuzzy risk),5.0,200.0,484.36437,12.82584,59.75407,0.46696,0.0,0.02288,3.55587,0.3706,3.80424,2.0,0.00082,0.002,nan,799.59012,34.70224,1.10189,0.0,0.91083
8,C-R-EoH,5.0,200.0,484.36437,11.57209,59.75407,0.47368,0.0,0.01918,3.03645,0.32916,3.23314,5.0,0.36315,0.27681,0.95741,799.59012,33.89583,1.1025,0.47599,1.04305
9,Classical heuristic,6.0,240.0,598.47341,87.57852,194.48962,0.55175,0.5,0.11633,18.07009,0.45278,22.15798,1.0,0.0,0.0,nan,1120.57312,98.80897,0.28798,0.0,1.0
9,Deterministic AHD,6.0,240.0,598.47341,87.57852,194.48962,0.55175,0.5,0.11633,18.07009,0.45278,22.15798,1.0,0.0,0.0,nan,1120.57312,98.80897,0.28798,0.0,1.0
9,MO AHD (no fuzzy risk),6.0,240.0,598.47341,43.26209,131.69811,0.53557,0.0,0.03484,5.41347,0.44758,11.33966,1.0,0.0,0.0,nan,1059.49684,85.03336,0.78743,0.0,0.90824
9,C-R-EoH,7.0,280.0,598.47341,7.21946,29.33505,0.27902,0.0,0.04434,5.67782,0.26926,2.97463,5.0,0.6612,0.32628,0.31501,990.80429,53.34755,1.09014,0.55438,1.02457
10,Classical heuristic,6.0,240.0,556.77777,63.01403,163.87933,0.55113,0.0,0.14882,21.82057,0.51544,18.79998,1.0,0.0,0.0,nan,1047.07097,79.63884,0.41432,0.0,1.0
10,Deterministic AHD,5.0,200.0,556.77777,92.38588,214.78747,0.5889,1.0,0.04113,7.29822,0.39199,23.6831,1.0,0.0,0.0,nan,1057.97912,91.3253,0.41545,0.0,1.03099
10,MO AHD (no fuzzy risk),6.0,240.0,556.77777,23.62372,76.8276,0.42154,0.0,0.05053,7.38732,0.48309,8.85827,1.0,0.0,0.0,nan,960.01925,56.63018,1.00377,0.0,0.85609
10,C-R-EoH,7.0,280.0,556.77777,0.49632,3.03368,0.02861,0.0,0.05855,7.11116,0.08402,0.30207,6.0,0.55134,0.49575,0.93255,923.19165,38.74606,1.09677,0.92633,1.04954
11,Classical heuristic,5.0,200.0,526.14837,57.03008,146.1319,0.56063,0.2,0.03119,5.21422,0.33442,15.05709,1.0,0.0,0.0,nan,943.55317,80.43166,0.76051,0.0,1.0
11,Deterministic AHD,5.0,200.0,526.14837,56.75607,146.1319,0.56129,0.4,0.02608,4.38027,0.28597,12.55659,1.0,0.0,0.0,nan,943.55317,81.13528,0.75783,0.0,0.97686
11,MO AHD (no fuzzy risk),5.0,200.0,526.14837,56.75607,146.1319,0.56129,0.4,0.02608,4.38027,0.28597,12.55659,1.0,0.0,0.0,nan,943.55317,81.13528,0.75783,0.0,0.97686
11,C-R-EoH,6.0,240.0,526.14837,4.57111,19.45741,0.32122,0.0,0.03247,4.50144,0.31135,2.08727,3.0,0.32039,0.29607,0.99729,861.71089,42.73373,1.1025,0.37655,0.94025
12,Classical heuristic,6.0,240.0,552.68601,74.38967,192.11337,0.57336,0.5,0.17184,26.94338,0.39196,16.91387,1.0,0.0,0.0,nan,1075.2541,101.64135,0.14122,0.0,1.0
12,Deterministic AHD,5.0,200.0,552.68601,86.86688,214.71109,0.59066,1.0,0.03113,5.49576,0.36987,20.41682,1.0,0.0,0.0,nan,1057.85182,107.14232,0.30626,0.10474,1.06744
12,MO AHD (no fuzzy risk),5.0,200.0,552.68601,86.86688,214.71109,0.59066,1.0,0.03113,5.49576,0.36987,20.41682,1.0,0.0,0.0,nan,1057.85182,107.14232,0.30626,0.10474,1.06744
12,C-R-EoH,6.0,240.0,552.68601,18.76575,70.17226,0.46917,0.0,0.03967,5.92629,0.3889,5.96835,6.0,1.0,0.84669,0.95987,953.31299,65.03486,1.09392,0.0,0.85649
13,Classical heuristic,6.0,240.0,585.99632,81.84705,219.73834,0.56121,0.83333,0.11934,19.43428,0.34457,16.77266,1.0,0.0,0.0,nan,1156.52903,118.06872,0.30122,0.0,1.0
13,Deterministic AHD,6.0,240.0,585.99632,43.96129,159.70614,0.5186,0.0,0.04855,7.4334,0.43917,11.71089,1.0,0.0,0.0,nan,1096.49683,99.02966,0.72621,0.0,0.90917
13,MO AHD (no fuzzy risk),6.0,240.0,585.99632,44.56058,159.70614,0.51757,0.0,0.05,7.62106,0.46608,12.16688,1.0,0.0,0.0,nan,1096.49683,98.79981,0.73737,0.03049,0.90264
13,C-R-EoH,7.0,280.0,585.99632,4.554,28.3889,0.19448,0.0,0.05347,6.42464,0.17321,1.56223,7.0,0.40155,0.35734,0.40394,988.85672,58.58248,1.09603,0.67301,1.05416
14,Classical heuristic,6.0,240.0,598.71598,71.94593,168.74829,0.54533,0.33333,0.09376,14.3294,0.43003,19.86962,1.0,0.0,0.0,nan,1089.90735,96.6714,0.52648,0.0,1.0
14,Deterministic AHD,6.0,240.0,598.71598,71.94593,168.74829,0.54533,0.33333,0.09376,14.3294,0.43003,19.86962,1.0,0.0,0.0,nan,1089.90735,96.6714,0.52648,0.0,1.0
14,MO AHD (no fuzzy risk),6.0,240.0,598.71598,44.79625,154.94995,0.53598,0.0,0.04365,6.82303,0.47189,13.5708,1.0,0.0,0.0,nan,1079.70909,84.86091,0.82395,0.02069,0.93854
14,C-R-EoH,7.0,280.0,598.71598,6.12529,32.59272,0.31943,0.0,0.04023,5.31716,0.21992,3.19975,6.0,0.7962,0.77779,0.87448,1011.77487,53.93373,1.09939,0.19106,0.86752
15,Classical heuristic,6.0,240.0,535.81563,49.99089,139.38648,0.56963,0.33333,0.16254,25.84638,0.41913,10.96192,1.0,0.0,0.0,nan,986.99478,82.2821,0.52711,0.0,1.0
15,Deterministic AHD,5.0,200.0,535.81563,65.42934,161.41245,0.58264,0.6,0.02817,4.73623,0.38218,15.26975,1.0,0.0,0.0,nan,969.02075,86.92801,0.67604,0.26557,1.12
15,MO AHD (no fuzzy risk),6.0,240.0,535.81563,8.01023,30.20044,0.38316,0.0,0.03211,4.46051,0.34645,2.65885,1.0,0.0,0.0,nan,877.80874,46.83308,1.1025,0.30447,0.94971
15,C-R-EoH,6.0,240.0,535.81563,8.01023,30.20044,0.38316,0.0,0.03211,4.46051,0.34645,2.65885,5.0,0.31031,0.26158,0.99172,877.80874,46.83308,1.1025,0.30447,0.94971
16,Classical heuristic,6.0,240.0,578.32423,69.96446,163.74112,0.54488,0.5,0.11718,18.38166,0.45389,15.86017,1.0,0.0,0.0,nan,1063.13883,105.707,0.68418,0.0,1.0
16,Deterministic AHD,6.0,240.0,578.32423,69.96446,163.74112,0.54488,0.5,0.11718,18.38166,0.45389,15.86017,1.0,0.0,0.0,nan,1063.13883,105.707,0.68418,0.0,1.0
16,MO AHD (no fuzzy risk),5.0,200.0,578.32423,123.5971,239.09656,0.59187,1.0,0.02984,5.44055,0.24979,24.2594,1.0,0.0,0.0,nan,1098.49427,123.32915,0.99212,0.0,1.06606
16,C-R-EoH,7.0,280.0,578.32423,2.26749,5.30875,0.22978,0.0,0.04364,5.37797,0.15887,0.82285,6.0,0.26834,0.23227,0.91267,940.79126,53.92793,1.09955,0.0,0.77672
17,Classical heuristic,5.0,200.0,526.08185,55.4927,157.91845,0.57574,0.0,0.03229,5.65304,0.32694,14.94842,1.0,0.0,0.0,nan,956.99631,82.64592,0.5844,0.0,1.0
17,Deterministic AHD,5.0,200.0,526.08185,55.4927,157.91845,0.57574,0.0,0.03229,5.65304,0.32694,14.94842,1.0,0.0,0.0,nan,956.99631,82.64592,0.5844,0.0,1.0
17,MO AHD (no fuzzy risk),9.0,360.0,526.08185,0.0,0.0,0.0,0.0,0.0432,3.77948,0.0,0.0,3.0,0.67917,0.27725,1.0,959.07786,38.33746,0.59964,0.0,0.55
17,C-R-EoH,6.0,240.0,526.08185,5.71571,21.95883,0.37116,0.0,0.03763,5.04279,0.27827,1.93186,3.0,0.48148,0.44118,0.9952,862.52638,43.56214,1.1025,0.88108,1.11762
18,Classical heuristic,6.0,240.0,569.25502,77.93635,210.29515,0.55973,0.5,0.14413,22.68743,0.42258,18.01078,1.0,0.0,0.0,nan,1122.66742,113.85387,0.3258,0.0,1.0
