seed,method,f1,f2,f3,p95,hv,ood_degradation,lam,slack,balance,scenario_costs
2,C-R-EoH,663.6652089046149,773.1124739553721,74.78486500541699,812.8378872860183,1.1025,40.38010121945058,1.250413687483255,0.0,0.09297033084175048,591.697;631.343;843.337;891.598;669.218;720.754;782.516;741.648;557.896;557.896;662.014;574.797;560.919;591.697;591.697;591.697;699.919;781.373;648.854;742.648;811.233;737.752;740.074;701.809;750.141;607.305;556.011;728.115;591.137;606.479;726.915;660.248;649.880;588.140;580.616;641.406;591.593;708.956;501.413;633.869
3,Classical heuristic,666.0597724702167,765.1677468256499,66.7108172978229,790.210199795964,1.060358767203735,38.481635623910734,1.0,0.0,0.0,617.177;789.363;766.717;580.571;760.257;556.708;728.088;565.095;563.630;630.561;649.218;617.252;585.060;617.177;617.177;617.177;651.351;675.535;521.304;631.871;695.907;633.044;612.595;653.711;748.402;724.445;637.808;684.816;753.466;647.487;723.067;806.310;557.793;560.190;768.125;837.806;747.061;751.973;661.201;695.895
3,Deterministic AHD,666.0597724702167,765.1677468256498,66.7108172978229,790.210199795964,1.0603587672037353,38.48163562391072,1.5173777035252547,0.0,0.0,617.177;789.363;766.717;580.571;760.257;556.708;728.088;565.095;563.630;630.561;649.218;617.252;585.060;617.177;617.177;617.177;651.351;675.535;521.304;631.871;695.907;633.044;612.595;653.711;748.402;724.445;637.808;684.816;753.466;647.487;723.067;806.310;557.793;560.190;768.125;837.806;747.061;751.973;661.201;695.895
3,MO AHD (no fuzzy risk),780.423232692236,915.3988953791277,89.20957617986178,955.1287623195523,1.0603587672037353,42.27764147734486,0.4,0.08814232993975074,0.13624007585175676,718.048;954.555;923.221;644.076;907.539;632.402;865.264;655.424;639.759;723.831;767.119;710.344;676.681;718.048;718.048;718.048;741.915;786.897;592.534;733.746;820.914;735.290;706.459;757.510;888.382;857.469;735.623;805.703;905.173;764.677;847.765;966.030;646.740;648.801;918.175;1013.435;893.231;892.313;782.840;802.903
3,C-R-EoH,668.0499852753823,755.3157485710954,59.158376891078966,772.803336083555,1.1020861935395903,36.02285381551544,1.044656166807432,0.0,0.0,622.235;771.664;748.388;601.187;753.097;572.962;721.401;574.069;576.152;639.850;648.430;624.426;593.850;622.235;622.235;622.235;663.509;680.399;535.096;640.264;694.362;637.000;620.789;661.982;736.893;722.799;643.792;684.202;744.806;652.191;718.872;794.448;572.625;573.655;759.777;820.093;742.618;747.804;661.213;698.393
4,Classical heuristic,740.340889146438,832.5424918685317,65.21380408254228,869.7156871408499,0.9493132083314612,43.158239600866075,1.0,0.0,0.0,671.224;815.724;628.483;695.266;804.625;769.337;827.797;754.840;644.271;779.777;714.411;698.245;722.709;671.224;671.224;671.224;594.146;749.233;643.376;704.938;862.789;869.112;755.318;881.193;810.903;619.233;807.004;748.803;765.460;822.667;654.370;800.705;717.551;774.586;675.457;624.507;790.468;897.522;747.380;756.532
4,Deterministic AHD,725.592631249714,814.7792971634468,59.91196132164631,838.2782694894044,1.1025,41.32915444809838,0.4,0.012266185646837577,0.0,658.731;837.402;639.107;701.431;778.664;736.762;817.266;722.832;626.411;768.848;683.955;697.359;702.536;658.731;658.731;658.731;599.344;727.720;631.220;668.104;826.051;817.313;717.904;854.919;797.580;630.131;811.696;766.171;730.734;831.544;663.477;780.095;703.826;736.542;663.938;627.112;769.637;855.183;730.090;735.874
4,MO AHD (no fuzzy risk),732.0286941481236,830.6078893606049,67.16503818556295,861.4165520996029,1.1025,43.53796134298523,0.5567542193480766,0.0,0.0,662.393;819.031;612.611;705.144;810.615;746.825;824.598;730.762;631.920;774.700;697.957;695.512;715.755;662.393;662.393;662.393;585.289;723.982;628.830;681.078;857.939;860.772;742.667;873.668;814.892;614.545;809.106;752.765;752.996;826.893;647.635;796.291;714.707;759.458;656.833;605.140;786.210;887.281;736.724;750.444
4,C-R-EoH,725.592631249714,814.7792971634468,59.91196132164631,838.2782694894044,1.1025,41.32915444809838,0.4,0.012266185646837577,0.0,658.731;837.402;639.107;701.431;778.664;736.762;817.266;722.832;626.411;768.848;683.955;697.359;702.536;658.731;658.731;658.731;599.344;727.720;631.220;668.104;826.051;817.313;717.904;854.919;797.580;630.131;811.696;766.171;730.734;831.544;663.477;780.095;703.826;736.542;663.938;627.112;769.637;855.183;730.090;735.874
5,Classical heuristic,739.7682022585298,869.7023082497795,81.22098150595602,919.231024274141,1.08011209516837,47.15348558985623,1.0,0.0,0.0,671.672;553.203;495.217;943.140;746.051;875.273;730.483;727.578;739.306;727.578;739.539;702.328;690.318;671.672;671.672;671.672;596.226;726.272;627.076;636.705;894.914;744.108;760.815;840.987;684.225;947.800;684.520;796.891;576.373;848.070;917.973;822.665;696.948;721.558;700.365;782.579;687.513;888.869;773.310;877.266
5,Deterministic AHD,741.1511550501224,882.2678413838654,90.30473167114253,942.0045515667069,1.0251599707374992,49.847234944763436,1.6857962319318873,0.02838982744396168,0.09631169703005135,669.465;529.381;483.382;972.176;759.887;896.498;744.320;713.495;725.223;713.495;745.142;705.469;685.170;669.465;669.465;669.465;585.234;721.433;632.435;614.255;896.983;742.033;779.600;833.343;687.192;966.430;689.668;804.537;567.643;852.850;940.719;837.718;683.664;699.135;691.623;792.975;693.476;904.949;788.619;888.037
5,MO AHD (no fuzzy risk),812.4396235741191,970.4611740094797,98.09309987932765,1041.0079491961662,1.0251599707374992,49.986493145149204,0.4,0.11187483161617887,0.24582908368711173,732.760;575.459;526.668;1072.698;796.018;987.714;780.451;806.302;818.029;806.302;817.745;759.710;762.523;732.760;732.760;732.760;634.307;808.299;672.971;682.280;1005.417;823.811;821.147;941.691;744.490;1058.481;735.728;875.198;610.027;950.409;1040.088;905.687;779.081;802.364;763.681;853.977;746.549;980.754;847.069;973.420
5,C-R-EoH,737.442914103925,866.7525428478092,80.91656674021928,915.8691109108312,1.1025,47.11958647435002,1.0332773997651548,0.02153410035660873,0.000869644764819459,669.628;551.872;493.886;939.672;744.542;872.161;728.974;724.823;736.550;724.823;737.139;700.463;687.918;669.628;669.628;669.628;594.693;723.610;625.602;634.735;891.501;741.548;759.109;837.704;682.300;944.640;682.862;794.496;575.004;844.959;914.616;820.251;694.134;718.605;698.129;780.430;685.664;886.200;771.189;874.399
6,Classical heuristic,719.8308110739665,848.667465264234,85.14894887893067,885.4487337013073,1.0953507027917961,53.56876671734827,1.0,0.0,0.0,636.812;659.555;884.138;810.907;489.851;598.279;930.735;832.761;723.415;630.988;707.881;726.189;615.370;636.812;636.812;636.812;746.615;838.848;659.536;654.482;613.905;690.308;704.948;847.849;754.865;745.941;738.482;551.954;734.328;808.994;794.013;653.173;875.297;828.146;589.890;732.630;732.952;606.436;910.360;821.963
6,Deterministic AHD,719.8308110739665,848.667465264234,85.14894887893067,885.4487337013073,1.0953507027917961,53.56876671734827,1.0,0.0,0.0,636.812;659.555;884.138;810.907;489.851;598.279;930.735;832.761;723.415;630.988;707.881;726.189;615.370;636.812;636.812;636.812;746.615;838.848;659.536;654.482;613.905;690.308;704.948;847.849;754.865;745.941;738.482;551.954;734.328;808.994;794.013;653.173;875.297;828.146;589.890;732.630;732.952;606.436;910.360;821.963
6,MO AHD (no fuzzy risk),731.1704372709539,868.7119041256241,90.24968776198128,900.1147317447092,1.0953507027917961,55.63922270463057,0.4,0.008476961506767279,0.03020261697623389,645.704;596.169;887.673;817.831;492.665;617.267;951.782;849.756;772.498;618.937;729.270;746.730;635.225;645.704;645.704;645.704;750.037;898.908;670.845;675.106;607.445;662.476;755.697;877.551;748.413;755.704;718.476;571.212;743.610;846.587;802.340;682.337;879.613;865.590;608.676;730.260;730.323;620.081;923.045;823.866
6,C-R-EoH,721.8973295495626,847.456609812134,83.01102309771684,879.1407733202592,1.1024232595643326,53.46773831063017,0.6652166435431885,0.0,0.0,639.076;662.037;877.590;804.359;492.068;607.198;933.091;835.086;725.601;633.361;710.175;728.483;619.852;639.076;639.076;639.076;746.696;842.155;665.586;656.413;618.492;692.267;710.092;852.122;758.752;752.655;737.007;558.448;732.696;806.093;792.578;661.029;869.612;829.586;597.682;730.914;737.781;614.827;908.600;818.606
7,Classical heuristic,786.2121263607776,935.1634535823636,101.43930934317322,1000.057908959973,0.7824206336710819,53.464995387955334,1.0,0.0,0.0,709.798;1038.649;788.075;775.416;756.044;962.535;564.982;623.454;738.736;623.454;683.078;684.252;685.199;709.798;709.798;709.798;908.825;812.181;798.745;603.864;705.888;842.266;1004.319;654.284;698.960;852.845;594.720;912.948;761.025;904.459;832.003;820.384;999.834;844.832;966.863;860.018;964.900;792.582;845.766;702.910
7,Deterministic AHD,754.1290922243736,890.0744588698393,94.70471938199076,950.1597347867377,1.1025,51.21661280133996,1.1772515211496104,0.021118136303519677,0.0,682.545;988.379;749.061;774.654;712.002;925.989;558.070;609.762;705.602;609.762;654.798;658.629;656.919;682.545;682.545;682.545;854.513;777.791;766.483;581.562;675.727;800.435;956.797;640.406;678.385;816.187;565.597;863.239;723.798;847.734;802.872;798.383;949.810;818.317;925.941;800.737;926.936;774.427;807.050;678.229
7,MO AHD (no fuzzy risk),772.3265979673004,933.9356250761992,113.20887538665082,1008.563327376719,1.1025,56.50109914778585,0.8722044853046451,0.0,0.0,692.866;1054.501;748.496;804.611;722.127;976.554;534.710;597.629;710.480;597.629;660.277;659.330;660.277;692.866;692.866;692.866;886.811;809.943;775.450;562.402;671.279;834.035;1015.297;628.817;700.303;844.559;555.797;894.026;719.277;878.250;843.709;826.560;1008.209;851.267;975.688;824.611;978.356;812.621;815.651;682.061
7,C-R-EoH,754.1290922243736,890.0744588698393,94.70471938199076,950.1597347867377,1.1025,51.21661280133996,1.1772515211496104,0.021118136303519677,0.0,682.545;988.379;749.061;774.654;712.002;925.989;558.070;609.762;705.602;609.762;654.798;658.629;656.919;682.545;682.545;682.545;854.513;777.791;766.483;581.562;675.727;800.435;956.797;640.406;678.385;816.187;565.597;863.239;723.798;847.734;802.872;798.383;949.810;818.317;925.941;800.737;926.936;774.427;807.050;678.229
8,Classical heuristic,682.72343331997,770.0175860774443,59.536755389899824,801.4421622548457,0.6244561880045136,42.24197574332386,1.0,0.0,0.0,606.612;711.749;730.751;848.108;792.075;708.559;681.124;709.861;631.540;706.967;640.594;615.023;611.378;606.612;606.612;606.612;685.026;764.504;726.953;630.458;837.429;593.861;682.843;707.240;799.548;632.296;724.280;744.709;761.783;666.803;618.191;582.551;613.137;788.881;631.048;721.191;630.481;652.853;605.945;692.748
8,Deterministic AHD,643.0443278336272,719.2397322725013,53.35847203942505,742.9601202117349,1.1025,41.5368777580025,1.0747760864005584,0.01631195591153018,0.10441288480434507,573.900;691.222;710.223;772.594;727.261;667.131;657.551;655.747;585.696;652.854;604.977;581.696;578.052;573.900;573.900;573.900;630.714;702.741;679.390;611.877;784.999;556.892;644.432;679.079;732.254;598.226;687.343;689.905;711.545;617.467;580.647;555.373;596.481;741.400;612.626;676.723;596.538;609.095;581.761;663.662
8,MO AHD (no fuzzy risk),695.3931323729137,780.0101306224287,56.6021790545336,809.8068301430295,1.1025,41.00779613028704,1.4443782329833623,0.11164358220343426,0.0,621.832;749.737;789.838;843.185;792.187;695.630;713.420;704.189;622.705;701.295;646.431;638.430;629.645;621.832;621.832;621.832;666.967;746.125;721.153;664.404;840.755;604.459;707.231;742.834;799.985;634.263;735.579;743.987;767.732;668.887;636.671;621.442;640.120;808.178;670.002;718.435;658.734;647.530;637.801;718.431
8,C-R-EoH,643.0443278336272,719.2397322725013,53.35847203942505,742.9601202117349,1.1025,41.5368777580025,1.0747760864005584,0.01631195591153018,0.10441288480434507,573.900;691.222;710.223;772.594;727.261;667.131;657.551;655.747;585.696;652.854;604.977;581.696;578.052;573.900;573.900;573.900;630.714;702.741;679.390;611.877;784.999;556.892;644.432;679.079;732.254;598.226;687.343;689.905;711.545;617.467;580.647;555.373;596.481;741.400;612.626;676.723;596.538;609.095;581.761;663.662
9,Classical heuristic,805.38577940236,898.5783514999165,60.76034926312068,910.958265018395,0.9629236328024862,43.01680615694808,1.0,0.0,0.0,732.390;817.763;817.763;811.661;773.828;884.086;908.705;722.077;770.781;788.438;686.981;759.792;791.838;732.390;732.390;732.390;892.253;807.002;788.005;821.952;838.999;1050.165;905.898;833.889;851.552;880.102;878.359;779.279;788.047;806.532;724.534;953.765;879.545;772.227;823.422;662.353;859.512;734.269;772.207;648.294
9,Deterministic AHD,794.4905575592311,883.1063141636711,58.62923757063584,900.5812836572547,1.1025,42.93456529632093,0.41750951668344144,0.0,0.0,722.292;791.032;791.032;815.976;787.750;854.565;879.185;723.818;761.336;785.547;677.439;750.021;787.431;722.292;722.292;722.292;897.153;798.736;799.024;814.248;826.147;1037.071;898.997;830.528;848.697;867.200;848.935;783.978;771.357;777.183;705.745;930.682;857.103;757.569;822.009;656.246;847.159;720.549;751.370;637.638
