comparison,metric,wilcoxon_p_raw,wilcoxon_p_holm,cliffs_delta
C-R-EoH vs deterministic AHD,P95,0.0044,0.0178,-0.052
C-R-EoH vs deterministic AHD,OOD degradation,0.0047,0.0178,-0.029
C-R-EoH vs MO AHD,Hypervolume,0.0077,0.0178,0.137
C-R-EoH vs deterministic AHD,Mean cost,0.2477,0.2477,0.003
