seed,method,f1,f2,f3,p95,hv,ood_degradation,pack,buffer,scenario_costs
0,Classical heuristic,841.0953562837076,1012.6538946836425,112.06307225489483,1097.7140157830404,0.3963863034640294,46.341582047004756,1.0,0.0,762.01;1021.98;758.99;743.74;810.10;967.95;706.59;745.67;792.00;768.13;803.75;789.63;748.33;762.01;762.01;762.01;677.73;687.50;699.70;713.81;723.32;731.83;746.86;756.11;765.04;780.91;804.04;825.41;852.10;883.93;910.93;941.73;958.64;987.84;1018.49;1042.68;1061.99;1096.41;1122.55;1149.39
0,Deterministic AHD,845.7188075811413,1048.1907554092306,133.4360240043757,1137.2994036811135,0.1940468754562609,50.9414886950019,1.12,0.15305611275905956,755.02;1064.89;760.67;734.42;818.38;997.88;672.33;717.44;801.71;758.45;822.55;800.65;724.91;755.02;755.02;755.02;637.73;647.50;659.70;673.81;685.32;695.36;719.92;740.27;762.59;795.66;824.79;848.78;879.24;912.66;941.38;973.20;990.90;1021.59;1054.29;1079.09;1099.52;1135.93;1163.29;1191.87
0,MO AHD (no fuzzy risk),845.7188075811413,1048.1907554092306,133.4360240043757,1137.2994036811135,0.9021222683505138,50.9414886950019,1.12,0.15305611275905956,755.02;1064.89;760.67;734.42;818.38;997.88;672.33;717.44;801.71;758.45;822.55;800.65;724.91;755.02;755.02;755.02;637.73;647.50;659.70;673.81;685.32;695.36;719.92;740.27;762.59;795.66;824.79;848.78;879.24;912.66;941.38;973.20;990.90;1021.59;1054.29;1079.09;1099.52;1135.93;1163.29;1191.87
0,C-R-EoH,834.4426015281445,920.5754293703945,57.102533414340975,955.0700859276191,0.9639057082225574,27.083514091472164,0.9062243621233128,0.4440249334544358,802.01;931.64;797.34;783.74;826.52;899.15;746.59;785.67;820.68;802.75;829.02;820.26;788.33;802.01;802.01;802.01;717.73;727.50;739.70;753.81;763.32;771.83;786.86;796.11;805.04;818.27;829.91;839.51;851.70;865.06;876.55;889.28;896.36;908.64;921.72;931.63;939.81;954.37;968.32;984.94
1,Classical heuristic,865.2338013478893,1119.0500855935618,168.26437129635255,1247.3707026289117,0.07714914380433815,65.1860265753757,1.0,0.0,740.87;624.45;855.87;1159.53;971.82;904.16;667.26;823.73;781.69;682.66;765.24;722.33;743.40;740.87;740.87;740.87;626.91;638.14;650.90;672.11;687.69;702.72;715.86;733.09;749.38;779.90;818.99;859.76;891.98;926.36;983.16;1017.63;1047.97;1082.34;1126.27;1172.88;1209.35;1245.65;1280.04;1324.65
1,Deterministic AHD,835.3154500217873,1098.0107182113763,174.27091387547225,1228.2327067111542,0.2038274073859182,68.97635282812588,1.0467363142919406,0.0,708.25;584.45;818.35;1133.53;946.45;868.86;627.26;792.60;756.95;642.66;733.97;682.84;709.89;708.25;708.25;708.25;586.91;598.14;610.90;632.11;647.69;662.72;675.86;694.63;719.50;755.43;796.28;837.45;870.01;904.52;961.84;996.54;1027.04;1061.75;1106.08;1153.08;1189.68;1226.51;1261.06;1306.05
1,MO AHD (no fuzzy risk),835.3154500217873,1098.0107182113763,174.27091387547225,1228.2327067111542,0.8348353988731049,68.97635282812588,1.0467363142919406,0.0,708.25;584.45;818.35;1133.53;946.45;868.86;627.26;792.60;756.95;642.66;733.97;682.84;709.89;708.25;708.25;708.25;586.91;598.14;610.90;632.11;647.69;662.72;675.86;694.63;719.50;755.43;796.28;837.45;870.01;904.52;961.84;996.54;1027.04;1061.75;1106.08;1153.08;1189.68;1226.51;1261.06;1306.05
1,C-R-EoH,825.5474577507664,949.8979305023157,83.562369427856,1010.6200230280418,0.8510043462634309,44.34022925445918,1.12,1.0199306844917122,780.87;664.45;826.85;967.06;878.58;847.05;707.26;815.85;798.56;722.66;789.66;762.33;777.41;780.87;780.87;780.87;666.91;678.14;690.90;712.11;727.69;742.72;755.86;773.09;786.59;802.17;818.51;834.98;848.01;861.81;884.74;898.62;910.81;924.70;942.43;961.56;982.24;1009.02;1041.06;1086.05
2,Classical heuristic,849.4036175858328,1020.9897790148138,118.18407390584248,1105.7118151338134,0.08807979869374562,38.30756822427674,1.0,0.0,744.34;774.78;1009.19;1136.10;938.78;782.37;974.18;934.32;777.81;777.81;826.93;756.76;729.37;744.34;744.34;744.34;667.20;679.85;688.17;701.91;708.19;717.43;729.26;739.83;748.97;770.46;796.70;825.00;845.87;872.73;892.37;916.18;948.01;972.06;998.20;1021.17;1042.18;1076.94;1105.14;1116.60
2,Deterministic AHD,823.8826294057877,1003.4862926518757,124.48069264707188,1090.129832539842,0.2286161410502714,40.785712011198406,1.0837210949147273,0.09661234624639345,714.33;736.09;987.44;1121.04;917.06;747.40;957.47;915.94;755.78;755.78;806.90;733.68;694.82;714.33;714.33;714.33;627.20;639.85;648.17;661.91;668.19;678.28;691.52;706.23;721.49;748.01;776.20;804.86;826.16;853.32;873.25;897.56;929.85;954.25;980.80;1004.20;1025.57;1060.97;1089.55;1101.18
