method,f1_mean,f1_ci,f2_mean,f2_ci,f3_mean,f3_ci,p95_mean,p95_ci,hv_mean,hv_ci,ood_mean,ood_ci
Classical heuristic,100.00,16.64,111.07,18.52,7.57,1.28,113.83,18.80,0.780,0.237,39.04,0.77
Deterministic AHD,97.29,16.89,107.92,18.68,7.30,1.22,110.60,18.97,1.102,0.002,38.88,0.72
MO AHD (no fuzzy risk),104.17,20.95,115.96,23.38,8.00,1.61,119.32,23.80,1.103,0.000,39.31,0.47
C-R-EoH,97.28,16.88,107.88,18.66,7.27,1.21,110.58,18.96,1.103,0.000,38.75,0.89
