seed,selector,f1,f2,f3,p95,hv,ood,nominal,pack,buffer,portfolio_size
0,Deterministic AHD (nominal),838.8215036695761,959.1330615103717,74.76138362523768,984.977690516707,0.30105815193912316,47.81857769212198,755.0227950700365,1.078297987063009,0.06810455851809191,1
0,Robust min-max (Wald),802.7118677978879,868.5146617668316,39.549891231187495,884.3592000841525,1.0734801578501638,40.19798560537668,762.0091180280145,0.8752685333525483,0.0,1
0,Min-max regret (Savage),804.0952597386607,873.1259682360754,41.41842509844861,890.0298517890421,1.0296631586045983,39.9110685975644,762.0091180280145,0.9400042151542999,0.16504157826508906,1
0,Budgeted robust ($\Gamma$=2 zones),802.2737766224453,867.0543578486901,38.980372703112245,883.9228946114767,1.0874815489386755,40.193941188295305,762.0091180280147,0.910894777613973,0.1333113521455732,1
0,SAA mean-CVaR ($\beta$=0.90),801.8059475683817,865.4949276684779,38.37219493282947,883.1278301621643,1.1025,40.29172734663465,762.0091180280147,0.9698783140001443,0.3413876130148323,1
0,Iterated racing (irace-style),801.8059475683817,865.4949276684779,38.37219493282947,883.1278301621643,1.1025,40.29172734663465,762.0091180280147,0.9698783140001443,0.3413876130148323,1
0,Choice-function hyper-heuristic,801.8059475683817,865.4949276684779,38.37219493282947,883.1278301621643,1.1025,40.29172734663465,762.0091180280147,0.9698783140001443,0.3413876130148323,1
0,C-R-EoH (fuzzy MO evaluator),801.8059475683817,865.4949276684779,38.37219493282947,883.1278301621643,1.1025,40.29172734663465,762.0091180280147,0.9698783140001443,0.3413876130148323,5
1,Deterministic AHD (nominal),766.8551187109986,909.763558883173,91.36149789436404,997.767134344999,0.5657619674235856,65.39157490759922,705.6847679189585,1.12,0.2277949967923892,1
1,Robust min-max (Wald),797.2332042845154,863.7377399309802,44.779450675002245,899.1068537379996,0.7159777393316115,37.18024496613063,780.867893024254,0.9139192220550422,0.49093473119214925,1
1,Min-max regret (Savage),761.8539995842661,839.1403909301492,49.86232550472809,893.1318551913861,1.0908573545874813,56.1747703289318,740.8678930242543,1.0965386237160029,0.6569330453198009,1
1,Budgeted robust ($\Gamma$=2 zones),797.2332042845154,863.7377399309802,44.77945067500225,899.1068537379995,0.7159777393316115,37.038511838903986,780.8678930242542,0.9325161531647219,0.5907667271756825,1
1,SAA mean-CVaR ($\beta$=0.90),762.5684814693959,841.5219972139148,50.64825557837072,903.7911282015507,1.0690511845596016,56.08239096170796,740.867893024254,1.0752671120616175,0.5210706531435413,1
1,Iterated racing (irace-style),761.4745224916362,837.8754672880495,49.44490070283516,889.7273532256836,1.1025,56.412602936393085,740.8678930242543,0.9722972034059961,0.2811497834359532,1
1,Choice-function hyper-heuristic,761.4745224916362,837.8754672880495,49.44490070283516,889.7273532256836,1.1025,56.412602936393085,740.8678930242543,0.9722972034059961,0.2811497834359532,1
1,C-R-EoH (fuzzy MO evaluator),761.4745224916362,837.8754672880495,49.44490070283516,889.7273532256836,1.1025,56.412602936393085,740.8678930242543,0.9722972034059961,0.2811497834359532,4
