seed,program,generation,status,detail,repaired,runtime_ms
7,gen3_01,3,ok,,False,0.066
7,gen3_02,3,ok,,False,0.036
7,gen3_03,3,ok,,False,0.137
7,gen3_04,3,ok,,False,0.039
7,gen3_05,3,ok,,False,0.388
7,gen3_06,3,ok,,False,0.161
8,gen1_01,1,ok,,False,0.049
8,gen1_02,1,ok,,False,0.031
8,gen1_03,1,ok,,False,0.968
8,gen1_04,1,ok,,False,0.029
8,gen1_05,1,ok,,False,0.035
8,gen1_06,1,ok,,False,0.148
8,gen2_01,2,ok,,False,0.083
8,gen2_02,2,ok,,False,0.065
8,gen2_03,2,ok,,False,0.032
8,gen2_04,2,ok,,False,0.049
8,gen2_05,2,ok,,False,0.07
8,gen2_06,2,ok,,False,0.054
8,gen3_01,3,ok,,False,0.061
8,gen3_02,3,ok,,False,0.033
8,gen3_03,3,ok,,False,0.11
8,gen3_04,3,ok,,False,0.099
8,gen3_05,3,ok,,False,0.355
8,gen3_06,3,ok,,False,0.11
9,gen1_01,1,ok,,False,0.053
9,gen1_02,1,ok,,False,0.041
9,gen1_03,1,ok,,False,0.962
9,gen1_04,1,ok,,False,0.029
9,gen1_05,1,ok,,False,0.035
9,gen1_06,1,ok,,False,0.165
9,gen2_01,2,ok,,False,0.09
9,gen2_02,2,ok,,False,0.074
9,gen2_03,2,ok,,False,0.033
9,gen2_04,2,ok,,False,0.052
9,gen2_05,2,ok,,False,0.083
9,gen2_06,2,ok,,False,0.072
9,gen3_01,3,ok,,False,0.092
9,gen3_02,3,ok,,False,0.033
9,gen3_03,3,ok,,False,0.188
9,gen3_04,3,ok,,False,0.05
9,gen3_05,3,ok,,False,0.421
9,gen3_06,3,ok,,False,0.327
10,gen1_01,1,ok,,False,0.05
10,gen1_02,1,ok,,False,0.036
10,gen1_03,1,ok,,False,0.96
10,gen1_04,1,ok,,False,0.029
10,gen1_05,1,ok,,False,0.035
10,gen1_06,1,ok,,False,0.166
10,gen2_01,2,ok,,False,0.09
10,gen2_02,2,ok,,False,0.07
10,gen2_03,2,ok,,False,0.034
10,gen2_04,2,ok,,False,0.052
10,gen2_05,2,ok,,False,0.075
10,gen2_06,2,ok,,False,0.066
10,gen3_01,3,ok,,False,0.075
10,gen3_02,3,ok,,False,0.033
10,gen3_03,3,ok,,False,0.156
10,gen3_04,3,ok,,False,0.028
10,gen3_05,3,ok,,False,0.418
10,gen3_06,3,ok,,False,0.199
11,gen1_01,1,ok,,False,0.05
11,gen1_02,1,ok,,False,0.03
11,gen1_03,1,ok,,False,0.968
11,gen1_04,1,ok,,False,0.029
11,gen1_05,1,ok,,False,0.036
11,gen1_06,1,ok,,False,0.169
11,gen2_01,2,ok,,False,0.09
11,gen2_02,2,ok,,False,0.068
11,gen2_03,2,ok,,False,0.033
11,gen2_04,2,ok,,False,0.049
11,gen2_05,2,ok,,False,0.075
11,gen2_06,2,ok,,False,0.067
11,gen3_01,3,ok,,False,0.063
11,gen3_02,3,ok,,False,0.032
11,gen3_03,3,ok,,False,0.13
11,gen3_04,3,ok,,False,0.04
11,gen3_05,3,ok,,False,0.416
11,gen3_06,3,ok,,False,0.147
12,gen1_01,1,ok,,False,0.051
12,gen1_02,1,ok,,False,0.036
12,gen1_03,1,ok,,False,0.966
12,gen1_04,1,ok,,False,0.029
12,gen1_05,1,ok,,False,0.034
12,gen1_06,1,ok,,False,0.166
12,gen2_01,2,ok,,False,0.093
12,gen2_02,2,ok,,False,0.069
12,gen2_03,2,ok,,False,0.033
12,gen2_04,2,ok,,False,0.071
12,gen2_05,2,ok,,False,0.081
12,gen2_06,2,ok,,False,0.066
12,gen3_01,3,ok,,False,0.084
12,gen3_02,3,ok,,False,0.032
12,gen3_03,3,ok,,False,0.23
12,gen3_04,3,ok,,False,0.04
12,gen3_05,3,ok,,False,0.392
12,gen3_06,3,ok,,False,0.29
13,gen1_01,1,ok,,False,0.051
13,gen1_02,1,ok,,False,0.041
13,gen1_03,1,ok,,False,0.977
13,gen1_04,1,ok,,False,0.03
13,gen1_05,1,ok,,False,0.037
13,gen1_06,1,ok,,False,0.17
13,gen2_01,2,ok,,False,0.093
13,gen2_02,2,ok,,False,0.071
13,gen2_03,2,ok,,False,0.035
13,gen2_04,2,ok,,False,0.077
13,gen2_05,2,ok,,False,0.092
13,gen2_06,2,ok,,False,0.072
13,gen3_01,3,ok,,False,0.094
13,gen3_02,3,ok,,False,0.035
13,gen3_03,3,ok,,False,0.2
13,gen3_04,3,ok,,False,0.035
13,gen3_05,3,ok,,False,0.427
13,gen3_06,3,ok,,False,0.257
14,gen1_01,1,ok,,False,0.056
14,gen1_02,1,ok,,False,0.038
14,gen1_03,1,ok,,False,0.98
14,gen1_04,1,ok,,False,0.033
14,gen1_05,1,ok,,False,0.037
14,gen1_06,1,ok,,False,0.173
14,gen2_01,2,ok,,False,0.097
14,gen2_02,2,ok,,False,0.073
14,gen2_03,2,ok,,False,0.035
14,gen2_04,2,ok,,False,0.055
14,gen2_05,2,ok,,False,0.083
14,gen2_06,2,ok,,False,0.067
14,gen3_01,3,ok,,False,0.087
14,gen3_02,3,ok,,False,0.033
14,gen3_03,3,ok,,False,0.186
14,gen3_04,3,ok,,False,0.05
14,gen3_05,3,ok,,False,0.459
14,gen3_06,3,ok,,False,0.249
15,gen1_01,1,ok,,False,0.047
15,gen1_02,1,ok,,False,0.032
15,gen1_03,1,ok,,False,1.009
15,gen1_04,1,ok,,False,0.029
15,gen1_05,1,ok,,False,0.034
15,gen1_06,1,ok,,False,0.169
15,gen2_01,2,ok,,False,0.094
15,gen2_02,2,ok,,False,0.07
15,gen2_03,2,ok,,False,0.034
15,gen2_04,2,ok,,False,0.073
15,gen2_05,2,ok,,False,0.077
15,gen2_06,2,ok,,False,0.06
15,gen3_01,3,ok,,False,0.065
15,gen3_02,3,ok,,False,0.032
15,gen3_03,3,ok,,False,0.135
15,gen3_04,3,ok,,False,0.038
15,gen3_05,3,ok,,False,0.424
15,gen3_06,3,ok,,False,0.192
16,gen1_01,1,ok,,False,0.051
16,gen1_02,1,ok,,False,0.036
16,gen1_03,1,ok,,False,0.965
16,gen1_04,1,ok,,False,0.031
16,gen1_05,1,ok,,False,0.035
16,gen1_06,1,ok,,False,0.165
16,gen2_01,2,ok,,False,0.089
16,gen2_02,2,ok,,False,0.069
16,gen2_03,2,ok,,False,0.034
16,gen2_04,2,ok,,False,0.053
16,gen2_05,2,ok,,False,0.082
16,gen2_06,2,ok,,False,0.066
16,gen3_01,3,ok,,False,0.083
16,gen3_02,3,ok,,False,0.032
16,gen3_03,3,ok,,False,0.173
16,gen3_04,3,ok,,False,0.096
16,gen3_05,3,ok,,False,0.42
16,gen3_06,3,ok,,False,0.237
17,gen1_01,1,ok,,False,0.049
17,gen1_02,1,ok,,False,0.03
17,gen1_03,1,ok,,False,0.963
17,gen1_04,1,ok,,False,0.028
17,gen1_05,1,ok,,False,0.034
17,gen1_06,1,ok,,False,0.165
17,gen2_01,2,ok,,False,0.09
17,gen2_02,2,ok,,False,0.068
17,gen2_03,2,ok,,False,0.033
17,gen2_04,2,ok,,False,0.049
17,gen2_05,2,ok,,False,0.074
17,gen2_06,2,ok,,False,0.06
17,gen3_01,3,ok,,False,0.069
17,gen3_02,3,ok,,False,0.032
17,gen3_03,3,ok,,False,0.135
